encompass_id,name,action
27867848,DRIPPING SPRINGS FOOD MART (W HWY 290),create
27867864,JD SUPERMARKET #7,create
27867891,WB LIQUORS & WINE,create
27867898,CHOICE FOOD MART (HUNTERS BEND RD),create
27867988,HOME DEPOT #6563,create
27868087,FAST BREAK #8,create
27868303,OASIS (BURLESON),create
27868323,PAC N GO #904,create
27868324,PAC N GO #901,create
27868333,SPICEWOOD SQUARE,create
27868414,BREAD BASKET (MANCHACA),create
27868415,FOOD BOX 1806,create
27868436,RAVENSCROFT MARKET,create
27868437,PALEFACE MARKET #1 (1833),create
27868449,MURPHY'S #7663,create
27868484,JD'S EXXON 7,create
27868524,DOLLAR GENERAL #16198,create
27868540,CORNER STORE #1595,create
27868563,SNAX MAX (FM 201),create
27868639,HOME DEPOT #8418,create
27868640,HOME DEPOT #8995,create
27868643,SHOPPER MART/CEDAR CORNER STORE,create
27868672,AMIGO FLATONIA INC,create
27868705,POCO LOCO (CR 127),create
27868733,LBA MARKET,create
27868749,DOLLAR GENERAL #17193,create
27868763,AMAZON PRIME NOW - AUSTIN,create
27868781,DOLLAR GENERAL #17607,create
27868791,POWER STOP #3 (MANCHACA RD),create
27868792,OH FOOD MART,create
27868829,EAST 1ST GROCERY,create
27869239,AUSTINITE MARKET,create
27869431,FIVE BELOW #1160,create
27869445,POCO LOCO SUPERMERCADO,create
27869501,FOODIE'S CORNER 2,create
27869516,SNAX MAX #6,create
27869559,DISCOUNT MART (E MAIN ST),create
27869561,FOODIE'S CORNER #3,create
27869574,290 DINER,create
27869604,SUNRISE MARKET (HUNTER RD),create
27869617,LIQUOR DEPOT (FM 812),create
27869620,PARKS COFFEE,create
27869621,HIGH VIEW,create
27869634,AIRPORT QUICK STOP,create
27869662,TX C STORE PRO,create
27869700,MORELIANA MEAT MARKET,create
27869712,EXPRESS-O,create
27869754,SMITHVILLE STOP,create
27869755,BASTROP MART,create
27869765,BB MARKET,create
27869785,TARGET #3250,create
27869789,BIG BUCKET 3,create
27869825,JD'S SUPERMARKET,create
27869864,MUCHO'S #3,create
27869887,POCO LOCO SUPERMERCADO # 5,create
27869926,1ST EXPRESS,create
27869938,NATIVE GROCERY,create
27869997,7 ELEVEN #257,create
27869998,7 ELEVEN #2290,create
27870004,7 ELEVEN #2403,create
27870011,7 ELEVEN #1502,create
27870012,7 ELEVEN #1504,create
27870013,7 ELEVEN #2489,create
27870014,7 ELEVEN #1509,create
27870018,7 ELEVEN #1513,create
27870019,7 ELEVEN #1514,create
27870021,7 ELEVEN #1523,create
27870023,7 ELEVEN #1526,create
27870024,7 ELEVEN #1527,create
27870027,7 ELEVEN #1532,create
27870028,7 ELEVEN #1533,create
27870230,7 ELEVEN #5203,create
27870232,STOP N TOTE (E 5TH ST),create
27870245,KWIK CHEK #64,create
27870281,SAMMY'S FOOD MART,create
27870282,FOOD SPOT (BURTON DR),create
27870310,HU LA HU MARKET #2,create
27870350,JALISCO MARKET,create
27870399,MURPHY EXPRESS #8833,create
27870415,DOLLAR GENERAL #18727,create
27870621,JD'S #6,create
27870626,Money Order - Austin,create
27870635,SPEC'S LIQUOR #114,create
27870652,SPEC'S #27,create
27870684,DOLLAR GENERAL #18824,create
27870713,WAGON WHEEL (S HWY 304),create
27870732,ABIA FOOD & FUEL,create
27870753,RUDY'S COUNTRY STORE BBQ,create
27870771,COSTCO #1322,create
27870814,DOUBLE RR GROCERY,create
27870859,LOWE'S #137,create
27870890,7 ELEVEN #38104,create
27870893,DOLLAR GENERAL #19871,create
27870904,7 ELEVEN #38613,create
27870908,7 ELEVEN #38610,create
27870909,7 ELEVEN #38608,create
27870923,POCO LOCO SUPERMERCADO (AIRPOR BLVD),create
27870945,SUNRISE MARKET,create
27870948,CREEDMOOR GROCERY,create
27870959,QC MEAT MARKET,create
27870983,CVS #10669,create
27871107,FIRST MARKET,create
27871858,SALT SPRINGS XPRESS,create
27871895,SNAX BASKET #3,create
27871897,SNAX BASKET #2,create
27871909,POCO LOCO SUPERMERCADO (ROBERT S LIGHT BLVD),create
27871911,KWIK STAR,create
27871953,DIAMOND STORE,create
27871966,969 XPRESS,create
27871971,MARIGOLD MARKET,create
27871990,GALAXY LIQUORS,create
27872187,YOUR C STORE #2,create
27872188,Z MARKET,create
27872202,7 ELEVEN #38267,create
27872234,7 ELEVEN #40582,create
27872267,7 ELEVEN #40586,create
27872282,Z'S LIQUOR,create
27872300,POCO LOCO SUPERMERCHADO #7,create
27872306,FUEL WISE #3,create
27872315,DOCK FLOATS,create
27872445,BREAD AND BASKET (DRIPPING SPRINGS),create
27872485,DELL CHILDREN'S MEDICAL CENTER OF CENTRAL TX,create
27872490,PARKS PANTRY AUSTIN,create
27872504,BEER CREEK,create
27873049,FAMILY DOLLAR #10028,create
27873051,FAMILY DOLLAR #11346,create
27873053,FAMILY DOLLAR #12209,create
27873061,FAMILY DOLLAR #5520,create
27873151,FAMILY DOLLAR #12288,create
27873178,HWY 969 FOOD MART,create
27873193,TARGET #3342,create
27873297,QT #4153,create
27873306,FAMILY DOLLAR #12373,create
27873310,7-ELEVEN #38402,create
27873325,STARFIELD MARKET,create
27873345,TRAVIS HEIGHTS SPIRITS & WINE,create
27873347,TOTAL WINE & MORE #536,create
27873363,HEB #710,create
27873417,FION LIQUOR,create
27873617,TARGET #3335,create
27873649,RANCHO GRANDE SUPERMERCADO 1986,create
27873689,BASTROP CORNER STORE,create
27873698,QT #4128,create
27873735,SNAPPY'S MARKET LA GRANGE,create
27873747,GRABOOST #4,create
27873769,MILLS STREET MARKET,create
27873786,RANASAR LLC,create
27873833,GPM #4567,create
27873884,POCO LOCO SUPERMERCADO (2009),create
27873887,HEB #773,create
27873888,LIQUOR DEPOT (SMITHVILLE),create
27873927,DOUBLE APPLE SMOKE SHOP (BEN WHITE),create
27873930,7-ELEVEN #38575,create
27873952,PETRO PARK BUDA,create
27874013,THOM'S MARKET (BURNET RD),create
27874047,7-ELEVEN #38413,create
27874067,LIQUOR STOP,create
27874095,LOWE'S HOME IMPROVEMENT #689,create
27874096,LOWE'S HOME IMPROVEMENT #2513,create
27874120,LOWE'S HOME IMPROVEMENT #2840,create
27874121,LOWE'S HOME IMPROVEMENT #2961,create
27874122,LOWE'S HOME IMPROVEMENT #159,create
27874130,LOWE'S HOME IMPROVEMENT #1948,create
27874183,7 ELEVEN #40579,create
27874184,7 ELEVEN #40584,create
27874185,7 ELEVEN #40560,create
27874186,7 ELEVEN #40569,create
27874254,LOCKHART'S DAILY GRIND,create
27874269,LA SUPERIOR MARKETS,create
27874284,LA BUENA SUPERMERCADO,create
27874307,7 ELEVEN #41708,create
27874308,7 ELEVEN #38621,create
27874354,NEXT LEVEL RELO VENDING,create
27874355,BREAD BASKET (BEBEE),create
27874405,POCO LOCO SUPERMERCADO (KYLE),create
27874467,GILBERT EXPRESS,create
27874470,BREAD BASKET MARKET (PEARCE LN),create
27874476,7 ELEVEN #41166,create
27874513,71 XPRESS,create
